26.09.15 13:59
Projektstatistik

                     	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	#Files	
Gesamt:              	    2327	  9128	                     66387	                    72089	    95	
Verbleibend:         	       5	    16	                       101	                      112	     1	
Einmalig:            	    1923	  8392	                     60719	                    66099	    94	
Verbleibend einmalig:	       5	    16	                       101	                      112	     1	


Statistik einzelner Dateien:

Dateiname                                                                                                                                	Segmente Gesamt	Verbleibende Segmente	Einmalige Segmente	Verbleibende einmalige Segmente	Wörter Gesamt	Verbleibende Wörter:	Einmalige Wörter	Verbleibende einmalige Wörter	Zeichen Gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Einmalige Zeichen (ohne Leerzeichen)	Verbleibende einmalige Zeichen (ohne Leerzeichen)	Zeichen Gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Einmalige Zeichen (mit Leerzeichen)	Verbleibende einmalige Zeichen (mit Leerzeichen)	
Program/src/org/jphototagger/program/module/keywords/Bundle.properties                                                                   	             13	                    0	                 8	                              0	           30	                   0	              21	                            0	                              238	                                      0	                                 166	                                                0	                             255	                                     0	                                179	                                               0	
Program/src/org/jphototagger/program/module/keywords/list/Bundle.properties                                                              	             23	                    0	                15	                              0	           84	                   0	              71	                            0	                              578	                                      0	                                 465	                                                0	                             634	                                     0	                                516	                                               0	
Program/src/org/jphototagger/program/module/keywords/tree/Bundle.properties                                                              	             53	                    0	                38	                              0	          325	                   0	             276	                            0	                             2273	                                      0	                                1926	                                                0	                            2522	                                     0	                               2145	                                               0	
Program/src/org/jphototagger/program/module/metadatatemplates/Bundle.properties                                                          	             43	                    0	                17	                              0	          127	                   0	              63	                            0	                              910	                                      0	                                 453	                                                0	                             994	                                     0	                                499	                                               0	
Program/src/org/jphototagger/program/module/miscmetadata/Bundle.properties                                                               	             18	                    0	                11	                              0	           65	                   0	              48	                            0	                              455	                                      0	                                 319	                                                0	                             493	                                     0	                                347	                                               0	
Program/src/org/jphototagger/program/module/programs/Bundle.properties                                                                   	             73	                    0	                51	                              0	          276	                   0	             245	                            0	                             2102	                                      0	                                1864	                                                0	                            2283	                                     0	                               2036	                                               0	
Program/src/org/jphototagger/program/module/search/Bundle.properties                                                                     	             41	                    0	                32	                              0	          174	                   0	             156	                            0	                             1213	                                      0	                                1076	                                                0	                            1330	                                     0	                               1184	                                               0	
Program/src/org/jphototagger/program/module/thumbnails/Bundle.properties                                                                 	            100	                    0	                88	                              0	          474	                   0	             458	                            0	                             3433	                                      0	                                3277	                                                0	                            3746	                                     0	                               3584	                                               0	
Program/src/org/jphototagger/program/module/thumbnails/cache/Bundle.properties                                                           	              6	                    0	                 6	                              0	           73	                   0	              73	                            0	                              539	                                      0	                                 539	                                                0	                             585	                                     0	                                585	                                               0	
Program/src/org/jphototagger/program/module/thumbnails/info/Bundle.properties                                                            	              6	                    0	                 5	                              0	           42	                   0	              41	                            0	                              311	                                      0	                                 300	                                                0	                             342	                                     0	                                331	                                               0	
Program/src/org/jphototagger/program/module/timeline/Bundle.properties                                                                   	              2	                    0	                 2	                              0	            4	                   0	               4	                            0	                               33	                                      0	                                  33	                                                0	                              35	                                     0	                                 35	                                               0	
Program/src/org/jphototagger/program/module/wordsets/Bundle.properties                                                                   	             23	                    0	                18	                              0	           97	                   0	              90	                            0	                              790	                                      0	                                 732	                                                0	                             858	                                     0	                                798	                                               0	
Program/src/org/jphototagger/program/plugins/Bundle.properties                                                                           	              3	                    0	                 3	                              0	           18	                   0	              18	                            0	                              142	                                      0	                                 142	                                                0	                             150	                                     0	                                150	                                               0	
Program/src/org/jphototagger/program/settings/Bundle.properties                                                                          	             18	                    0	                17	                              0	           39	                   0	              38	                            0	                              294	                                      0	                                 281	                                                0	                             315	                                     0	                                302	                                               0	
Program/src/org/jphototagger/program/tasks/Bundle.properties                                                                             	              7	                    0	                 6	                              0	           20	                   0	              16	                            0	                              160	                                      0	                                 130	                                                0	                             173	                                     0	                                140	                                               0	
Program/src/org/jphototagger/program/view/Bundle.properties                                                                              	              1	                    0	                 1	                              0	            6	                   0	               6	                            0	                               37	                                      0	                                  37	                                                0	                              42	                                     0	                                 42	                                               0	
Repositories/HSQLDB/src/org/jphototagger/repository/hsqldb/Bundle.properties                                                             	             12	                    0	                12	                              0	          117	                   0	             117	                            0	                              772	                                      0	                                 772	                                                0	                             852	                                     0	                                852	                                               0	
Repositories/HSQLDB/src/org/jphototagger/repository/hsqldb/update/tables/v0/Bundle.properties                                            	              1	                    0	                 1	                              0	            5	                   0	               5	                            0	                               45	                                      0	                                  45	                                                0	                              49	                                     0	                                 49	                                               0	
Repositories/HSQLDB/src/org/jphototagger/repository/hsqldb/update/tables/v0/obsolete/Bundle.properties                                   	              1	                    0	                 1	                              0	           35	                   0	              35	                            0	                              224	                                      0	                                 224	                                                0	                             250	                                     0	                                250	                                               0	
